sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-10-08,N582MM,airplanes-live,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,172,True,28.98,47.774746,-116.825558,True,N582MM/data/recovered/N582MM_2025-10-08_airplanes-live_trace_full.json
2025-10-09,N1098L,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,40,False,11.66,,,True,N1098L/data/recovered/N1098L_2025-10-09_adsb-lol_trace_full.json
2025-10-09,N560TW,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,678,True,4.42,35.029575,-106.621796,True,N560TW/data/recovered/N560TW_2025-10-09_adsb-lol_trace_full.json
2025-10-09,N560TW,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,204,False,4.74,,,True,N560TW/data/recovered/N560TW_2025-10-09_airplanes-live_trace_full.json
2025-10-09,N582MM,adsb-lol,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,81,False,26.19,,,True,N582MM/data/recovered/N582MM_2025-10-09_adsb-lol_trace_full.json
2025-10-09,N582MM,airplanes-live,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,174,True,26.18,47.778133,-116.817627,True,N582MM/data/recovered/N582MM_2025-10-09_airplanes-live_trace_full.json
2025-10-10,N1098L,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,231,False,8.06,,,True,N1098L/data/recovered/N1098L_2025-10-10_adsb-lol_trace_full.json
2025-10-10,N1098L,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,239,False,8.06,,,True,N1098L/data/recovered/N1098L_2025-10-10_airplanes-live_trace_full.json
2025-10-10,N582MM,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,52,False,8.71,,,True,N582MM/data/recovered/N582MM_2025-10-10_adsb-lol_trace_full.json
2025-10-10,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,78,False,8.65,,,True,N582MM/data/recovered/N582MM_2025-10-10_airplanes-live_trace_full.json
2025-10-15,N582MM,airplanes-live,20251016_norman,event,Norman,OK,2025-10-16,-1,TPUSA,53,False,33.01,,,True,N582MM/data/recovered/N582MM_2025-10-15_airplanes-live_trace_full.json
2025-10-15,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,20,False,24.56,,,True,N582MM/data/recovered/N582MM_2025-10-15_airplanes-live_trace_full.json
2025-10-15,N582MM,airplanes-live,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,17,False,49.69,,,True,N582MM/data/recovered/N582MM_2025-10-15_airplanes-live_trace_full.json
2025-10-16,T7-ELL,airplanes-live,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,22,False,47.47,,,True,T7-ELL/data/recovered/T7-ELL_2025-10-16_airplanes-live_trace_full.json
2025-10-17,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,63,False,26.17,,,True,N582MM/data/recovered/N582MM_2025-10-17_airplanes-live_trace_full.json.gz
2025-10-20,N102DZ,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,53,False,14.73,,,True,N102DZ/data/recovered/N102DZ_2025-10-20_airplanes-live_trace_full.json.gz
